,id,text,label,label_text
0,cb774db0d1," I`d have responded, if I were going",1,neutral
1,549e992a42, Sooo SAD I will miss you here in San Diego!!!,0,negative
2,088c60f138,my boss is bullying me...,0,negative
3,9642c003ef, what interview! leave me alone,0,negative
4,358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative
5,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,neutral
6,6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,2,positive
7,50e14c0bb8,Soooo high,1,neutral
8,e050245fbd, Both of you,1,neutral
9,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,positive
10,2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,neutral
11,16fab9f95b,I really really like the song Love Story by Taylor Swift,2,positive
12,74a76f6e0a,My Sharpie is running DANGERously low on ink,0,negative
13,04dd1d2e34,i want to go to music tonight but i lost my voice.,0,negative
14,bbe3cbf620,test test from the LG enV2,1,neutral
15,8a939bfb59,"Uh oh, I am sunburned",0,negative
16,3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",0,negative
17,919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative
18,af3fed7fc3,is back home now      gonna miss every one,0,negative
19,40e7becabf,Hes just not that into you,1,neutral
20,04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,neutral
21,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,positive
22,7de057cf40,is cleaning the house for her family who is comming later today..,1,neutral
23,9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,neutral
24,0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,neutral
25,e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",2,positive
26,852edc3769,  I`m sorry.,0,negative
27,bdc32ea43c,On the way to Malaysia...no internet access to Twit,0,negative
28,6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,positive
29,d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative
30,d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,positive
31,7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,2,positive
32,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative
33,2dc51711bc, That`s very funny.  Cute kids.,2,positive
34,d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,neutral
35,4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,neutral
36,2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative
37,1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral
